0.563,0.45,0.357,0.287,0.23,0.108,0.092,0.079,0.07,0.065,0.085,0.101,0.122,0.135,0.138,2.07,4.452,8.739,15.367,24.168,1.055,1.577,2.233,3.001,3.822,0.012,0.008,0.006,0.005,0.004,0.968,0.93,0.863,0.758,0.629,1
0.481,0.37,0.286,0.236,0.205,0.101,0.084,0.073,0.068,0.066,0.103,0.123,0.145,0.152,0.15,3.238,7.464,14.866,23.282,30.722,1.377,2.097,2.97,3.732,4.352,0.01,0.007,0.005,0.005,0.004,0.939,0.86,0.72,0.551,0.382,1
0.581,0.468,0.378,0.328,0.299,0.117,0.099,0.086,0.08,0.076,0.07,0.083,0.098,0.106,0.106,1.743,3.695,6.708,9.874,13.373,0.984,1.463,1.998,2.429,2.807,0.014,0.01,0.007,0.006,0.006,0.96,0.915,0.845,0.77,0.688,1
0.429,0.365,0.315,0.267,0.238,0.095,0.086,0.079,0.073,0.07,0.086,0.095,0.107,0.116,0.119,4.429,6.992,10.588,16.16,20.906,1.637,2.068,2.544,3.143,3.575,0.009,0.007,0.006,0.005,0.005,0.889,0.824,0.733,0.593,0.485,1
0.417,0.339,0.276,0.232,0.215,0.089,0.078,0.07,0.065,0.063,0.093,0.106,0.123,0.132,0.133,4.734,8.54,14.715,22.341,27.858,1.702,2.294,3.008,3.708,4.145,0.008,0.006,0.005,0.004,0.004,0.898,0.815,0.682,0.519,0.405,1
0.385,0.314,0.259,0.219,0.195,0.085,0.076,0.069,0.065,0.062,0.105,0.118,0.133,0.141,0.141,5.987,10.405,17.193,25.13,34.536,1.914,2.535,3.255,3.947,4.609,0.007,0.006,0.005,0.004,0.004,0.866,0.767,0.614,0.433,0.229,1
0.541,0.441,0.361,0.293,0.242,0.095,0.082,0.072,0.067,0.065,0.085,0.1,0.119,0.131,0.133,2.195,4.407,8.183,14.216,22.128,1.124,1.605,2.189,2.894,3.635,0.009,0.007,0.005,0.004,0.004,0.971,0.942,0.893,0.816,0.736,1
0.602,0.505,0.427,0.367,0.335,0.142,0.123,0.109,0.1,0.095,0.064,0.074,0.084,0.088,0.084,1.607,3.126,5.391,8.199,10.657,0.923,1.306,1.734,2.151,2.47,0.02,0.015,0.012,0.01,0.009,0.934,0.871,0.776,0.657,0.546,1
0.529,0.409,0.32,0.251,0.196,0.084,0.07,0.06,0.053,0.048,0.148,0.177,0.218,0.246,0.254,2.457,5.332,10.931,20.728,39.271,1.179,1.78,2.552,3.498,4.763,0.007,0.005,0.004,0.003,0.002,0.985,0.967,0.932,0.87,0.749,1
0.495,0.374,0.278,0.226,0.195,0.099,0.082,0.07,0.065,0.061,0.095,0.115,0.139,0.155,0.155,2.982,7.088,14.952,24.937,38.856,1.317,2.053,3.013,3.875,4.807,0.01,0.007,0.005,0.004,0.004,0.95,0.882,0.75,0.582,0.351,1
0.539,0.434,0.351,0.301,0.272,0.131,0.113,0.1,0.094,0.09,0.059,0.068,0.078,0.082,0.082,2.343,4.631,8.021,11.834,15.56,1.142,1.636,2.197,2.691,3.084,0.017,0.013,0.01,0.009,0.008,0.895,0.791,0.635,0.455,0.283,1
0.511,0.397,0.313,0.255,0.211,0.097,0.082,0.071,0.065,0.062,0.103,0.122,0.144,0.157,0.156,2.806,6.126,11.546,18.577,27.268,1.264,1.891,2.625,3.362,4.123,0.009,0.007,0.005,0.004,0.004,0.955,0.902,0.812,0.689,0.536,1
0.593,0.486,0.389,0.317,0.27,0.129,0.11,0.095,0.085,0.079,0.073,0.087,0.1,0.108,0.107,1.653,3.266,6.249,11.204,16.294,0.948,1.371,1.928,2.584,3.142,0.017,0.012,0.009,0.007,0.006,0.95,0.901,0.811,0.663,0.512,1
0.576,0.466,0.378,0.321,0.31,0.156,0.134,0.119,0.112,0.112,0.049,0.058,0.066,0.07,0.069,1.857,3.745,6.763,10.174,10.804,1.009,1.471,2.008,2.484,2.57,0.024,0.018,0.014,0.013,0.013,0.876,0.75,0.544,0.306,0.242,1
0.557,0.463,0.393,0.333,0.294,0.14,0.122,0.11,0.101,0.097,0.06,0.068,0.077,0.08,0.081,2.007,3.74,6.371,9.814,13.353,1.067,1.478,1.923,2.409,2.829,0.02,0.015,0.012,0.01,0.009,0.895,0.804,0.667,0.489,0.314,1
0.494,0.38,0.3,0.249,0.211,0.108,0.09,0.08,0.073,0.07,0.087,0.103,0.122,0.129,0.129,2.943,6.389,11.917,19.291,26.301,1.314,1.966,2.699,3.442,4.051,0.012,0.008,0.006,0.005,0.005,0.929,0.847,0.716,0.544,0.389,1
0.476,0.386,0.318,0.276,0.25,0.112,0.097,0.088,0.082,0.08,0.082,0.095,0.111,0.118,0.117,3.229,6.151,10.303,15.016,19.806,1.389,1.927,2.512,3.039,3.465,0.012,0.009,0.008,0.007,0.006,0.909,0.827,0.708,0.568,0.414,1
0.529,0.424,0.339,0.283,0.255,0.111,0.095,0.084,0.078,0.075,0.077,0.091,0.108,0.117,0.119,2.354,4.809,8.857,14.12,19.625,1.169,1.694,2.32,2.934,3.424,0.012,0.009,0.007,0.006,0.006,0.946,0.889,0.795,0.673,0.552,1
0.569,0.477,0.401,0.346,0.308,0.146,0.128,0.116,0.108,0.104,0.056,0.066,0.075,0.079,0.077,1.874,3.471,5.852,8.671,11.621,1.026,1.416,1.854,2.279,2.651,0.021,0.016,0.013,0.012,0.011,0.901,0.816,0.688,0.528,0.356,1
0.482,0.383,0.314,0.264,0.225,0.111,0.096,0.086,0.079,0.076,0.07,0.082,0.096,0.102,0.103,3.114,6.0,10.531,16.235,21.367,1.362,1.919,2.541,3.178,3.708,0.012,0.009,0.007,0.006,0.006,0.894,0.796,0.639,0.437,0.26,1
0.635,0.546,0.462,0.374,0.304,0.153,0.135,0.12,0.105,0.096,0.059,0.071,0.084,0.091,0.091,1.268,2.42,4.648,8.284,13.602,0.818,1.142,1.576,2.157,2.804,0.023,0.018,0.014,0.011,0.009,0.954,0.912,0.83,0.699,0.511,1
